Iteration,Mean,Min,Max
1820,44.9600,34.0000,57.0000
1830,45.4600,35.0000,60.0000
1840,40.8300,30.0000,50.0000
1850,34.9100,26.0000,44.0000
1860,33.5500,25.0000,42.0000
1870,84.2100,38.0000,110.0000
1880,34.7400,25.0000,97.0000
1890,30.3400,23.0000,39.0000
1900,86.8700,32.0000,111.0000
1910,32.8500,25.0000,40.0000
1920,200.0000,200.0000,200.0000
1930,200.0000,200.0000,200.0000
1940,200.0000,200.0000,200.0000
