Iteration,Mean,Min,Max
1820,18.7900,15.0000,23.0000
1830,25.5100,20.0000,33.0000
1840,23.0900,18.0000,28.0000
1850,96.1500,37.0000,111.0000
1860,174.6800,136.0000,200.0000
1870,35.2300,26.0000,46.0000
1880,31.4000,23.0000,41.0000
1890,118.1600,104.0000,132.0000
1900,200.0000,200.0000,200.0000
1910,37.9500,26.0000,47.0000
1920,56.6100,37.0000,107.0000
1930,47.3200,28.0000,103.0000
1940,119.2500,102.0000,148.0000
1950,36.9100,25.0000,48.0000
1960,32.6000,25.0000,40.0000
1970,32.7900,25.0000,42.0000
1980,36.6800,28.0000,45.0000
1990,29.0100,22.0000,36.0000
2000,24.4200,19.0000,30.0000
2010,25.9300,19.0000,34.0000
2020,20.7500,16.0000,25.0000
2030,18.0400,14.0000,22.0000
2040,20.7200,16.0000,25.0000
2050,18.1300,14.0000,22.0000
2060,18.3700,14.0000,22.0000
2070,21.8400,17.0000,28.0000
2080,23.5600,17.0000,30.0000
2090,20.8100,17.0000,25.0000
2100,22.3700,17.0000,27.0000
2110,26.5100,20.0000,35.0000
2120,26.6600,20.0000,34.0000
2130,36.2700,27.0000,45.0000
2140,21.0700,16.0000,25.0000
2150,20.1100,16.0000,25.0000
2160,20.5200,16.0000,25.0000
2170,23.1600,18.0000,30.0000
2180,25.5700,19.0000,34.0000
2190,24.3400,18.0000,30.0000
2200,26.0200,19.0000,34.0000
2210,24.6100,17.0000,31.0000
2220,27.7800,21.0000,36.0000
2230,32.6500,23.0000,42.0000
2240,33.5000,23.0000,41.0000
2250,27.4300,20.0000,37.0000
2260,20.6000,16.0000,25.0000
2270,21.2900,17.0000,26.0000
2280,20.5300,15.0000,25.0000
2290,24.2400,17.0000,30.0000
2300,23.9300,18.0000,33.0000
2310,20.4300,16.0000,24.0000
2320,20.4900,17.0000,25.0000
2330,20.0900,15.0000,25.0000
2340,18.2900,15.0000,23.0000
2350,20.2400,17.0000,25.0000
2360,24.4700,18.0000,31.0000
2370,19.1300,14.0000,24.0000
2380,23.2700,18.0000,29.0000
2390,110.6100,98.0000,120.0000
2400,200.0000,200.0000,200.0000
2410,200.0000,200.0000,200.0000
